TIPO_DE_MASA,LUGAR,LAT,LONG,FECHA,INDICE_INORGANICO,INDICE_CONTAMINACIÓN_BIOLOGICA,OXÍGENO
lagos,lago soldati,-34.661886,-58.459898,2025-06-04,-0.8786846810399787,-0.16394787763235147,0.7000000000000002
lagos,lago lugano,-34.679461,-58.447579,2025-06-09,0.188402857521559,-0.27315351309495056,10.5
río de la plata,"club de pescadores, costanera norte",-34.560652,-58.398363,2025-06-11,-1.0869526100614806,-0.3303802274320005,10.0
río de la plata,"reserva ecológica, costanera sur",-34.6059,-58.344011,2025-06-11,-1.3607194899166355,-0.3192538337596114,10.2
río de la plata,"parque de los niños, costanera norte",-34.528196,-58.453765,2025-06-11,-1.2357597863834187,-0.33057412702302985,9.5
río de la plata,abanico              costanera norte,-34.32508,-58.25465,2025-06-11,-0.23798257878299206,-0.3298373085771182,9.6
riachuelo,desembocadura,-34.637968,-58.356041,2025-07-02,-0.602696252576614,-0.27206294337831416,3.6
riachuelo,puente alsina,-34.659538,-58.416509,2025-07-02,2.2499247419743647,-0.2067859531608467,3.1
riachuelo,puente la noria,-34.705115,-58.46104,2025-07-02,1.8192330601319462,-0.19479776449674296,2.9
arroyos,ingreso arroyo cildañez,-34.670757,-58.504407,2025-07-15,-1.0724861971160073,-0.11741197578529787,6.4
arroyos,desembocadura arroyo cilz,-34.675416,-58.441243,2025-07-15,0.7457861954934162,0.2494705216491822,1.7000000000000002
arroyos,desembocadura arroyo medrano,-34.537103,-58.458516,2025-07-30,0.1182923414024019,0.009130418152956829,0.2999999999999998
lagos,lago soldati,-34.661886,-58.459898,2025-07-30,-0.923357892851166,-0.19574054351667142,1.6
arroyos,ingreso arroyo medrano,-34.558488,-58.503429,2025-07-30,-0.005235459883807095,3.192667794568134,0.8999999999999999
arroyos,desembocadura arroyo maldonado,-34.568729,-58.42083,2025-08-05,-0.19665749807938543,-0.2428030331603636,4.0
arroyos,ingreso arroyo maldonado,-34.634576,-58.529663,2025-08-05,-1.2411662674285466,0.4968825297293091,4.2
riachuelo,desembocadura,-34.637968,-58.356041,2025-08-06,1.7704326096488203,-0.21423429442561898,1.0
riachuelo,puente alsina,-34.659538,-58.416509,2025-08-06,1.4696333245680258,-0.2451444862049474,1.1
riachuelo,puente la noria,-34.705115,-58.46104,2025-08-06,0.984582051323535,-0.23447314165383104,0.2999999999999998
lagos,lago lugano,-34.679461,-58.447579,2025-08-26,0.020359773696403002,-0.2728335787697521,10.3
lagos,lago soldati,-34.661886,-58.459898,2025-08-26,-1.0149311344801726,-0.19574054351667142,2.9
